"month","ET_1km"
0,0.101
1,0.1079
2,0.1273
3,0.1508
4,0.0984
5,0.1308
6,0.1386
7,0.1293
8,0.1186
9,0.138
10,0.0946
11,0.1024
12,0.1114
13,0.1294
14,0.1493
15,0.1115
16,0.1359
17,0.132
18,0.1314
19,0.1249
20,0.1294
21,0.095
22,0.1255
23,0.1096
24,0.1132
25,0.1295
26,0.1505
27,0.1163
28,0.1305
29,0.1244
30,0.1279
31,0.1278
32,0.1152
33,0.0918
34,0.1266
35,0.1103
36,0.1053
37,0.1254
38,0.145
39,0.1151
40,0.1235
41,0.1163
42,0.1257
43,0.1246
44,0.1151
45,0.0843
46,0.1208
47,0.1146
48,0.1063
49,0.1278
50,0.1453
51,0.1491
52,0.0985
53,0.1268
54,0.1302
55,0.133
56,0.1221
57,0.1223
58,0.091
59,0.1111
60,0.1314
61,0.143
62,0.146
63,0.1179
64,0.1274
65,0.1102
66,0.1232
67,0.1179
68,0.1138
69,0.082
70,0.1149
71,0.1092
72,0.1226
73,0.1217
74,0.141
75,0.117
76,0.12
77,0.1075
78,0.1184
79,0.1275
80,0.1331
81,0.0823
82,0.1217
83,0.1006
84,0.1075
85,0.1364
86,0.1486
87,0.106
88,0.14
89,0.1341
90,0.1326
91,0.1261
92,0.1298
93,0.0949
94,0.1239
95,0.1152
96,0.1234
97,0.1339
98,0.1427
99,0.1436
100,0.0948
101,0.1331
102,0.1268
103,0.1278
104,0.1079
105,0.1086
106,0.0895
107,0.11
108,0.121
109,0.1367
110,0.1506
111,0.1
112,0.1217
113,0.1122
114,0.121
115,0.1196
116,0.1147
117,0.0818
118,0.1226
119,0.1115
120,0.1295
121,0.1427
122,0.1583
123,0.1052
124,0.1384
125,0.1246
126,0.114
127,0.1197
128,0.1232
129,0.0967
130,0.1265
131,0.1003
132,0.1138
133,0.1303
134,0.1477
135,0.0988
136,0.12
137,0.1142
138,0.1173
139,0.1185
140,0.1161
141,0.0838
142,0.1358
143,0.1121
144,0.1043
145,0.1155
146,0.1285
147,0.1381
148,0.0879
149,0.1229
150,0.1338
151,0.1237
152,0.1269
153,0.1328
154,0.0984
155,0.1076
156,0.1015
157,0.13
158,0.1446
159,0.096
160,0.1103
161,0.1083
162,0.1174
163,0.1292
164,0.1242
165,0.0913
166,0.1312
167,0.0908
168,0.1249
169,0.1278
170,0.127
171,0.0887
172,0.1465
173,0.1014
174,0.1454
175,0.1267
176,0.1114
177,0.0805
178,0.1303
179,0.1063
