"month","Gpp_1km"
0,242.2
1,182.3
2,167.4
3,201.5
4,181.4
5,199.9
6,196.8
7,198.3
8,271.3
9,259.4
10,172.4
11,172.3
12,205.7
13,215.8
14,245.8
15,151.3
16,227
17,254.1
18,256.8
19,262.1
20,293.1
21,202.1
22,249.5
23,173.1
24,219.7
25,226.8
26,183.9
27,126.3
28,186.8
29,238.9
30,259.3
31,256.4
32,278
33,202.8
34,239
35,188.5
36,225.8
37,240.7
38,199
39,153.2
40,186.4
41,231.8
42,279.8
43,302.4
44,288.6
45,221.7
46,256.8
47,211.5
48,262.3
49,242.8
50,234.6
51,261.6
52,168.2
53,252.8
54,308.1
55,299.5
56,292.1
57,271
58,186.9
59,212
60,255
61,250.7
62,228.9
63,141.1
64,221.4
65,257.8
66,294.8
67,279.8
68,269.8
69,179.7
70,225
71,200.9
72,224.8
73,235.3
74,242.7
75,154.4
76,229
77,239.6
78,249.7
79,298.3
80,295.8
81,188.7
82,237.3
83,193.2
84,153.3
85,235.5
86,216.1
87,180.7
88,274
89,233.5
90,163.1
91,151.6
92,200.3
93,183.2
94,227.6
95,217.3
96,219.4
97,241.3
98,227.5
99,229.6
100,169.1
101,237.7
102,249.9
103,298.4
104,276.8
105,257.3
106,173.6
107,204.2
108,241.2
109,221
110,213.2
111,136.8
112,262.1
113,230.9
114,188.2
115,161.5
116,178.6
117,136.9
118,209.9
119,188.8
120,211.8
121,206.6
122,210.3
123,183.6
124,215.4
125,274.6
126,261.6
127,281.1
128,279.9
129,201.9
130,252.9
131,227.6
132,231.1
133,241.1
134,198.9
135,118.6
136,179.6
137,139.4
138,205.9
139,290.6
140,293.8
141,172.9
142,271.5
143,201.1
144,149.9
145,133.4
146,175
147,236.5
148,159.8
149,272
150,142.3
151,277
152,283.6
153,301.2
154,180.5
155,222.1
156,230.2
157,214.9
158,206.6
159,133.2
160,204.3
161,228.4
162,242.2
163,251.3
164,259
165,183.3
166,119.3
167,29.1
168,216.5
169,257
170,208.6
171,142.7
172,230.7
173,215.5
174,210.2
175,248.3
176,260.6
177,158.4
178,250.1
179,197
